,asin,meta,Title,Author
2450,080211928X,"{'ISBN-13': '9780802119285', 'Title': 'Matterhorn', 'Authors': ['Karl Marlantes'], 'Publisher': 'Atlantic Monthly Press', 'Year': '2010', 'Language': ''}",Matterhorn,Karl Marlantes
2452,0802121012,"{'ISBN-13': '9780802121011', 'Title': 'The Golden Egg Commissario Guido Brunetti', 'Authors': ['Donna Leon'], 'Publisher': 'Atlantic Monthly Press', 'Year': '2013', 'Language': ''}",The Golden Egg Commissario Guido Brunetti,Donna Leon
2453,0802139256,"{'ISBN-13': '9780802139252', 'Title': 'Peace Like a River', 'Authors': ['Leif Enger'], 'Publisher': 'Grove Press', 'Year': '2002', 'Language': ''}",Peace Like a River,Leif Enger
2454,0802405584,"{'ISBN-13': '9780802405586', 'Title': 'A harvest of rubies', 'Authors': ['Tessa Afshar'], 'Publisher': 'Moody Publishers', 'Year': '2012', 'Language': ''}",A harvest of rubies,Tessa Afshar
2455,0802458815,"{'ISBN-13': '9780802458810', 'Title': 'Pearl In The Sand A Novel', 'Authors': ['Tessa Afshar'], 'Publisher': 'Moody Publishers', 'Year': '2010', 'Language': ''}",Pearl In The Sand A Novel,Tessa Afshar
2456,0802473156,"{'ISBN-13': '9780802473158', 'Title': 'The 5 love languages', 'Authors': ['Gary D. Chapman'], 'Publisher': 'Northfield Pub.', 'Year': '2010', 'Language': ''}",The 5 love languages,Gary D. Chapman
2457,0802798225,"{'ISBN-13': '9780802798220', 'Title': 'Perfect chemistry', 'Authors': ['Simone Elkeles'], 'Publisher': 'Walker', 'Year': '2009', 'Language': ''}",Perfect chemistry,Simone Elkeles
2458,0803734735,"{'ISBN-13': '9780803734739', 'Title': 'Bitterblue', 'Authors': ['Kristin Cashore'], 'Publisher': 'Dial Books', 'Year': '2012', 'Language': ''}",Bitterblue,Kristin Cashore
2459,0804119627,"{'ISBN-13': '9780804119627', 'Title': ""White lion's lady"", 'Authors': ['Tina St. John'], 'Publisher': 'Ivy Books', 'Year': '2001', 'Language': ''}",White lion's lady,Tina St. John
2461,0804139024,"{'ISBN-13': '9780804139021', 'Title': 'The Martian', 'Authors': ['Andy Weir'], 'Publisher': 'Crown', 'Year': '2014', 'Language': ''}",The Martian,Andy Weir
2463,0804176663,"{'ISBN-13': '9780804176668', 'Title': 'Wanted', 'Authors': ['Julie Kenner'], 'Publisher': '', 'Year': '2014', 'Language': ''}",Wanted,Julie Kenner
2464,0804176787,"{'ISBN-13': '9780804176781', 'Title': 'One Week Girlfriend', 'Authors': ['Monica Murphy'], 'Publisher': '', 'Year': '2013', 'Language': ''}",One Week Girlfriend,Monica Murphy
2466,0805062882,"{'ISBN-13': '9780805062885', 'Title': 'An army at dawn', 'Authors': ['Rick Atkinson'], 'Publisher': 'Henry Holt & Co.', 'Year': '2002', 'Language': ''}",An army at dawn,Rick Atkinson
2467,0805062890,"{'ISBN-13': '9780805062892', 'Title': 'The Day Of Battle', 'Authors': ['Rick Atkinson'], 'Publisher': 'Macmillan', 'Year': '2007', 'Language': 'en'}",The Day Of Battle,Rick Atkinson
2468,0805073396,"{'ISBN-13': '9780805073393', 'Title': ""What's The Matter With Kansas?"", 'Authors': ['Thomas Frank'], 'Publisher': 'Macmillan', 'Year': '2004', 'Language': 'en'}",What's The Matter With Kansas?,Thomas Frank
2469,080508925X,"{'ISBN-13': '9780805089257', 'Title': 'Mennonite In A Little Black Dress', 'Authors': ['Rhoda Janzen'], 'Publisher': 'Macmillan', 'Year': '2009', 'Language': 'en'}",Mennonite In A Little Black Dress,Rhoda Janzen
2470,0805090037,"{'ISBN-13': '9780805090031', 'Title': 'Bring Up The Bodies', 'Authors': ['Mezar Batu'], 'Publisher': 'koton.ltde book', 'Year': '2012', 'Language': 'en'}",Bring Up The Bodies,Mezar Batu
2471,0805093079,"{'ISBN-13': '9780805093070', 'Title': 'Killing Lincoln', 'Authors': [""Bill O'Reilly"", 'Martin Dugard'], 'Publisher': 'Macmillan', 'Year': '2011', 'Language': 'en'}",Killing Lincoln,Bill O'Reilly
2472,080509329X,"{'ISBN-13': '9780805093292', 'Title': 'Stories I only Tell My Friends', 'Authors': ['Rob Lowe'], 'Publisher': 'Henry Holt', 'Year': '2011', 'Language': ''}",Stories I only Tell My Friends,Rob Lowe
2473,0805094598,"{'ISBN-13': '9780805094596', 'Title': 'Shadow and bone', 'Authors': ['Leigh Bardugo'], 'Publisher': 'Henry Holt', 'Year': '2012', 'Language': ''}",Shadow and bone,Leigh Bardugo
2474,0805094601,"{'ISBN-13': '9780805094602', 'Title': 'Siege and Storm', 'Authors': ['Leigh Bardugo'], 'Publisher': 'Henry Holt and Co', 'Year': '2013', 'Language': ''}",Siege and Storm,Leigh Bardugo
2475,0805096663,"{'ISBN-13': '9780805096668', 'Title': 'Killing Kennedy', 'Authors': [""Bill O'Reilly"", 'Martin Dugard'], 'Publisher': 'Macmillan', 'Year': '2012', 'Language': 'en'}",Killing Kennedy,Bill O'Reilly
2476,0805098208,"{'ISBN-13': '9780805098204', 'Title': ""Still Foolin' 'Em"", 'Authors': ['Billy Crystal'], 'Publisher': 'Macmillan', 'Year': '2013', 'Language': 'en'}",Still Foolin' 'Em,Billy Crystal
2477,0805098542,"{'ISBN-13': '9780805098549', 'Title': 'Killing Jesus', 'Authors': [""Bill O'Reilly"", 'Martin Dugard'], 'Publisher': 'Henry Holt & Co.', 'Year': '2013', 'Language': ''}",Killing Jesus,Bill O'Reilly
2478,0805421300,"{'ISBN-13': '9780805421309', 'Title': 'The Vow', 'Authors': ['Kim Carpenter', 'Krickitt Carpenter'], 'Publisher': 'B & H Publishing Group', 'Year': '2000', 'Language': 'en'}",The Vow,Kim Carpenter
2479,0805448659,"{'ISBN-13': '9780805448658', 'Title': 'The Love Dare', 'Authors': ['Stephen Kendrick', 'Alex Kendrick', 'Lawrence Kimbrough'], 'Publisher': 'B&H Publishing Group', 'Year': '2009', 'Language': 'en'}",The Love Dare,Stephen Kendrick
2480,0805448888,"{'ISBN-13': '9780805448887', 'Title': 'Rooms', 'Authors': ['James L. Rubart'], 'Publisher': 'B & H Pub. Group', 'Year': '2010', 'Language': ''}",Rooms,James L. Rubart
2481,0806527285,"{'ISBN-13': '9780806527284', 'Title': 'I Hope They Serve Beer In Hell', 'Authors': [''], 'Publisher': 'Citadel Press', 'Year': '2006', 'Language': ''}",I Hope They Serve Beer In Hell,
2482,0807083054,"{'ISBN-13': '9780807083055', 'Title': 'Kindred', 'Authors': ['Octavia E. Butler'], 'Publisher': 'Beacon Press', 'Year': '1988', 'Language': ''}",Kindred,Octavia E. Butler
2483,0807101508,"{'ISBN-13': '9780807101506', 'Title': 'Twelve Years a Slave (Library of Southern Civilization)', 'Authors': ['Solomon Northup'], 'Publisher': 'Louisiana State University Press', 'Year': '1968', 'Language': ''}",Twelve Years a Slave (Library of Southern Civilization),Solomon Northup
2485,0811877825,"{'ISBN-13': '9780811877824', 'Title': 'Goodnight, goodnight, construction site', 'Authors': ['Sherri Duskey Rinker'], 'Publisher': 'Chronicle Books', 'Year': '2011', 'Language': ''}","Goodnight, goodnight, construction site",Sherri Duskey Rinker
2486,0811879542,"{'ISBN-13': '9780811879545', 'Title': 'Press here', 'Authors': ['Hervé Tullet'], 'Publisher': 'Chronicle Books', 'Year': '2011', 'Language': ''}",Press here,Hervé Tullet
2487,0812968972,"{'ISBN-13': '9780812968972', 'Title': 'The Birth of Venus', 'Authors': ['Sarah Dunant'], 'Publisher': 'Random House Trade Paperbacks', 'Year': '2004', 'Language': ''}",The Birth of Venus,Sarah Dunant
2488,081297235X,"{'ISBN-13': '9780812972351', 'Title': 'Prep', 'Authors': ['Curtis Sittenfeld'], 'Publisher': 'Random House Trade Paperbacks', 'Year': '2005', 'Language': ''}",Prep,Curtis Sittenfeld
2489,0812973992,"{'ISBN-13': '9780812973990', 'Title': 'Let the Great World Spin', 'Authors': [''], 'Publisher': 'Random House Trade Paperbacks', 'Year': '2009', 'Language': ''}",Let the Great World Spin,
2490,0812975219,"{'ISBN-13': '9780812975215', 'Title': 'Fooled by randomness', 'Authors': ['Nassim Nicholas Taleb'], 'Publisher': 'Random House Trade Paperbacks', 'Year': '2005', 'Language': ''}",Fooled by randomness,Nassim Nicholas Taleb
2491,0812976363,"{'ISBN-13': '9780812976366', 'Title': 'The thousand autumns of Jacob De Zoet', 'Authors': ['David Mitchell'], 'Publisher': 'Random House Trade Paperbacks', 'Year': '2011', 'Language': ''}",The thousand autumns of Jacob De Zoet,David Mitchell
2492,0812976886,"{'ISBN-13': '9780812976885', 'Title': 'Every Last One', 'Authors': ['Anna Quindlen'], 'Publisher': 'Random House', 'Year': '2011', 'Language': ''}",Every Last One,Anna Quindlen
2498,0812984250,"{'ISBN-13': '9780812984255', 'Title': 'Tenth of december', 'Authors': ['George Saunders'], 'Publisher': '', 'Year': '2013', 'Language': ''}",Tenth of december,George Saunders
2499,0812994868,"{'ISBN-13': '9780812994865', 'Title': 'The Reason I Jump The Inner Voice Of A Thirteenyearold Boy With Autism', 'Authors': ['Naoki Higashida'], 'Publisher': 'Random House', 'Year': '2013', 'Language': ''}",The Reason I Jump The Inner Voice Of A Thirteenyearold Boy With Autism,Naoki Higashida
2501,0821766996,"{'ISBN-13': '9780821766996', 'Title': 'The fairy tale bride', 'Authors': ['Kelly McClymer'], 'Publisher': 'Zebra', 'Year': '2000', 'Language': ''}",The fairy tale bride,Kelly McClymer
2502,0821773836,"{'ISBN-13': '9780821773833', 'Title': 'An undeniable rogue', 'Authors': ['Annette Blair'], 'Publisher': 'Kensington Pub. Corp.', 'Year': '2002', 'Language': ''}",An undeniable rogue,Annette Blair
2503,0825420164,"{'ISBN-13': '9780825420160', 'Title': 'Hazardous Duty', 'Authors': ['Christy Barritt'], 'Publisher': 'Kregel Publications', 'Year': '2006', 'Language': ''}",Hazardous Duty,Christy Barritt
2504,0833524658,"{'ISBN-13': '9780833524652', 'Title': 'Love You Forever', 'Authors': ['Robert N. Munsch'], 'Publisher': 'Tandem Library', 'Year': '1999', 'Language': ''}",Love You Forever,Robert N. Munsch
2505,0842300414,"{'ISBN-13': '9780842300414', 'Title': 'The atonement child', 'Authors': ['Francine Rivers'], 'Publisher': 'Tyndale House Publishers', 'Year': '1997', 'Language': ''}",The atonement child,Francine Rivers
2506,0842317872,"{'ISBN-13': '9780842317870', 'Title': 'Tribulation Force (Left Behind #2)', 'Authors': ['Jerry B. Jenkins'], 'Publisher': 'Tyndale House Publishers', 'Year': '1996', 'Language': ''}",Tribulation Force (Left Behind #2),Jerry B. Jenkins
2507,0842379428,"{'ISBN-13': '9780842379427', 'Title': 'Heaven', 'Authors': ['Randy C. Alcorn'], 'Publisher': 'Tyndale House Publishers', 'Year': '2004', 'Language': ''}",Heaven,Randy C. Alcorn
2508,0843955430,"{'ISBN-13': '9780843955439', 'Title': 'The Girl Next Door', 'Authors': ['Jack Ketchum'], 'Publisher': 'Leisure Books', 'Year': '2005', 'Language': ''}",The Girl Next Door,Jack Ketchum
2509,0843957352,"{'ISBN-13': '9780843957358', 'Title': 'Spying in High Heels', 'Authors': ['Gemma Halliday'], 'Publisher': 'Making It', 'Year': '2006', 'Language': ''}",Spying in High Heels,Gemma Halliday
2510,0843958626,"{'ISBN-13': '9780843958621', 'Title': 'Deliver Me', 'Authors': ['Farrah Rochon'], 'Publisher': 'Leisure Books', 'Year': '2007', 'Language': ''}",Deliver Me,Farrah Rochon
2511,0843959339,"{'ISBN-13': '9780843959338', 'Title': ""'Scuse Me While I Kill This Guy"", 'Authors': ['Leslie Langtry'], 'Publisher': 'Leisure', 'Year': '2007', 'Language': ''}",'Scuse Me While I Kill This Guy,Leslie Langtry
2512,0843959800,"{'ISBN-13': '9780843959802', 'Title': 'Paying the Piper', 'Authors': ['Simon Wood'], 'Publisher': 'Leisure Books', 'Year': '2007', 'Language': ''}",Paying the Piper,Simon Wood
2513,0843961449,"{'ISBN-13': '9780843961447', 'Title': 'First to kill', 'Authors': ['Andrew Peterson'], 'Publisher': 'Leisure Books', 'Year': '2008', 'Language': ''}",First to kill,Andrew Peterson
2514,0843962844,"{'ISBN-13': '9780843962840', 'Title': 'Where the wind blows', 'Authors': ['Caroline Fyffe'], 'Publisher': 'Leisure Books', 'Year': '2009', 'Language': ''}",Where the wind blows,Caroline Fyffe
2515,0849900417,"{'ISBN-13': '9780849900419', 'Title': 'Same kind of different as me', 'Authors': ['Ron Hall'], 'Publisher': 'Thomas Nelson', 'Year': '2006', 'Language': ''}",Same kind of different as me,Ron Hall
2516,0849920604,"{'ISBN-13': '9780849920608', 'Title': 'The principle of the path', 'Authors': ['Andy Stanley'], 'Publisher': 'Thomas Nelson', 'Year': '2008', 'Language': ''}",The principle of the path,Andy Stanley
2517,0849920698,"{'ISBN-13': '9780849920691', 'Title': 'Outlive your life', 'Authors': ['Max Lucado'], 'Publisher': 'Thomas Nelson', 'Year': '2010', 'Language': ''}",Outlive your life,Max Lucado
2518,0849921392,"{'ISBN-13': '9780849921391', 'Title': 'Fearless', 'Authors': ['Max Lucado'], 'Publisher': 'Thomas Nelson', 'Year': '2009', 'Language': ''}",Fearless,Max Lucado
2519,0849922070,"{'ISBN-13': '9780849922077', 'Title': 'Heaven is For Real Movie Edition', 'Authors': ['Todd Burpo'], 'Publisher': 'Thomas Nelson', 'Year': '2014', 'Language': ''}",Heaven is For Real Movie Edition,Todd Burpo
2520,0849946107,"{'ISBN-13': '9780849946103', 'Title': 'Jesus My Father The Cia And Me A Memoir Of Sorts', 'Authors': ['Ian Morgan Cron'], 'Publisher': 'Thomas Nelson Publishers', 'Year': '2011', 'Language': ''}",Jesus My Father The Cia And Me A Memoir Of Sorts,Ian Morgan Cron
2521,0849946506,"{'ISBN-13': '9780849946509', 'Title': 'Plan B', 'Authors': ['Pete Wilson'], 'Publisher': 'Thomas Nelson', 'Year': '2009', 'Language': ''}",Plan B,Pete Wilson
2522,0849948126,"{'ISBN-13': '9780849948121', 'Title': 'Max on life', 'Authors': ['Max Lucado'], 'Publisher': 'Thomas Nelson', 'Year': '2010', 'Language': ''}",Max on life,Max Lucado
2523,0849948320,"{'ISBN-13': '9780849948329', 'Title': 'Nearing Home', 'Authors': ['Graham, Billy'], 'Publisher': 'Thomas Nelson', 'Year': '2011', 'Language': ''}",Nearing Home,"Graham, Billy"
2533,0875421180,"{'ISBN-13': '9780875421186', 'Title': 'Wicca', 'Authors': ['Scott Cunningham'], 'Publisher': 'Llewellyn Publications', 'Year': '1989', 'Language': ''}",Wicca,Scott Cunningham
2534,0880707755,"{'ISBN-13': '9780880707756', 'Title': 'Babywise', 'Authors': [''], 'Publisher': 'Multnomah', 'Year': '1995', 'Language': ''}",Babywise,
2536,0899668747,"{'ISBN-13': '9780899668741', 'Title': 'The Cowboy and the Cossack', 'Authors': ['Clair Huffaker'], 'Publisher': 'Buccaneer Books', 'Year': '1992', 'Language': ''}",The Cowboy and the Cossack,Clair Huffaker
2537,091685633X,"{'ISBN-13': '9780916856335', 'Title': 'Alcoholics Anonymous Big Book/Large Print/B-16', 'Authors': ['Alcoholics Anonymous. World Service Meeting'], 'Publisher': 'Alcoholics Anonymous World Services', 'Year': '1991', 'Language': ''}",Alcoholics Anonymous Big Book/Large Print/B-16,Alcoholics Anonymous. World Service Meeting
2538,0930289455,"{'ISBN-13': '9780930289454', 'Title': 'Batman', 'Authors': ['Alan Moore'], 'Publisher': 'DC Comics', 'Year': '1988', 'Language': ''}",Batman,Alan Moore
2539,0937611018,"{'ISBN-13': '9780937611012', 'Title': 'You can heal your life', 'Authors': ['Louise L. Hay'], 'Publisher': 'Hay House', 'Year': '1995', 'Language': ''}",You can heal your life,Louise L. Hay
2542,0966110579,"{'ISBN-13': '9780966110579', 'Title': 'Deadly Sanctuary', 'Authors': ['Sylvia Nobel'], 'Publisher': 'Nite Owl Books', 'Year': '1998', 'Language': ''}",Deadly Sanctuary,Sylvia Nobel
2543,0966665732,"{'ISBN-13': '9780966665734', 'Title': 'Pagan Christianity', 'Authors': ['Frank Viola'], 'Publisher': 'Present Testimony Ministry', 'Year': '2003', 'Language': ''}",Pagan Christianity,Frank Viola
2544,0967089735,"{'ISBN-13': '9780967089737', 'Title': 'Nourishing traditions', 'Authors': ['Sally Fallon'], 'Publisher': 'NewTrends Pub.', 'Year': '1999', 'Language': ''}",Nourishing traditions,Sally Fallon
2545,0972831002,"{'ISBN-13': '9780972831000', 'Title': 'Enemies Foreign And Domestic', 'Authors': ['Matthew Bracken'], 'Publisher': 'Steelcutter Publishing', 'Year': '2003', 'Language': ''}",Enemies Foreign And Domestic,Matthew Bracken
2547,0975363506,"{'ISBN-13': '9780975363508', 'Title': 'The Turtle Boy', 'Authors': ['Kealan Patrick Burke'], 'Publisher': 'Necessary Evil Press', 'Year': '2005', 'Language': ''}",The Turtle Boy,Kealan Patrick Burke
2548,0975599518,"{'ISBN-13': '9780975599518', 'Title': 'Natural Cures ""They"" Don\'t Want You To Know About', 'Authors': ['Kevin Trudeau'], 'Publisher': 'Alliance Publishing Group Incorporated', 'Year': '2004', 'Language': 'en'}","Natural Cures ""They"" Don't Want You To Know About",Kevin Trudeau
2549,0975991477,"{'ISBN-13': '9780975991473', 'Title': 'The Biology Of Belief', 'Authors': ['Bruce H. Lipton'], 'Publisher': 'Authors Publishing Corporation', 'Year': '2005', 'Language': 'en'}",The Biology Of Belief,Bruce H. Lipton
2550,0976585502,"{'ISBN-13': '9780976585503', 'Title': 'Death By Honeymoon (Book #1 In The Caribbean Murder Series)', 'Authors': ['Jaden Skye'], 'Publisher': 'Independent Books', 'Year': '2011', 'Language': 'en'}",Death By Honeymoon (Book #1 In The Caribbean Murder Series),Jaden Skye
2551,0976876051,"{'ISBN-13': '9780976876052', 'Title': 'The Crossroads Café', 'Authors': ['Deborah Smith'], 'Publisher': 'BelleBooks', 'Year': '2006', 'Language': ''}",The Crossroads Café,Deborah Smith
2556,0978970772,"{'ISBN-13': '9780978970772', 'Title': 'Day by Day Armageddon (A Zombie Novel)', 'Authors': ['J. L. Bourne'], 'Publisher': 'Permuted Press', 'Year': '2007', 'Language': ''}",Day by Day Armageddon (A Zombie Novel),J. L. Bourne
2557,0979518202,"{'ISBN-13': '9780979518201', 'Title': 'The Sex Club', 'Authors': ['L. J. Sellers'], 'Publisher': 'Spellbinder Press', 'Year': '2007', 'Language': ''}",The Sex Club,L. J. Sellers
2558,0979600006,"{'ISBN-13': '9780979600005', 'Title': 'Shades of Gray', 'Authors': ['Jessica James'], 'Publisher': 'Patriot Press', 'Year': '2007', 'Language': ''}",Shades of Gray,Jessica James
2559,0979805600,"{'ISBN-13': '9780979805608', 'Title': 'Soul Identity', 'Authors': ['Dennis Batchelder'], 'Publisher': 'NetLeaves', 'Year': '2007', 'Language': ''}",Soul Identity,Dennis Batchelder
2560,0980017106,"{'ISBN-13': '9780980017106', 'Title': 'The Dummy Line', 'Authors': ['Bobby Cole'], 'Publisher': 'Context Publishing Company, LLC.', 'Year': '2008', 'Language': ''}",The Dummy Line,Bobby Cole
2561,098004250X,"{'ISBN-13': '9780980042504', 'Title': 'Perfect on Paper', 'Authors': ['Maria Murnane'], 'Publisher': 'Booksurge Llc', 'Year': '', 'Language': ''}",Perfect on Paper,Maria Murnane
2564,0981563619,"{'ISBN-13': '9780981563619', 'Title': ""The Warrior's Path"", 'Authors': ['Catherine M. Wilson'], 'Publisher': 'Shield Maiden Press', 'Year': '2008', 'Language': ''}",The Warrior's Path,Catherine M. Wilson
2567,0982514549,"{'ISBN-13': '9780982514542', 'Title': 'Quarter Share', 'Authors': ['Nathan Lowell'], 'Publisher': 'Ridan Publishing', 'Year': '2010', 'Language': ''}",Quarter Share,Nathan Lowell
2568,0982555091,"{'ISBN-13': '9780982555095', 'Title': 'Greyhound', 'Authors': ['Steffan Piper'], 'Publisher': 'AmazonEncore', 'Year': '2010', 'Language': ''}",Greyhound,Steffan Piper
2569,0982565844,"{'ISBN-13': '9780982565841', 'Title': 'The paleo solution', 'Authors': ['Robb Wolf'], 'Publisher': 'Victory Belt', 'Year': '2010', 'Language': ''}",The paleo solution,Robb Wolf
2576,0982953720,"{'ISBN-13': '9780982953723', 'Title': 'Turned', 'Authors': ['Morgan Rice'], 'Publisher': 'Morgan Rice Books', 'Year': '2011', 'Language': ''}",Turned,Morgan Rice
2577,0983157200,"{'ISBN-13': '9780983157205', 'Title': 'HalfBlood Covenant', 'Authors': ['Jennifer L. Armentrout'], 'Publisher': 'Spencer Hill Press', 'Year': '2011', 'Language': ''}",HalfBlood Covenant,Jennifer L. Armentrout
2601,0984502203,"{'ISBN-13': '9780984502202', 'Title': 'Yelllow Crocus', 'Authors': ['Laila Ibrahim'], 'Publisher': 'Flaming Chalice Press', 'Year': '2010', 'Language': ''}",Yelllow Crocus,Laila Ibrahim
2615,0985008628,"{'ISBN-13': '9780985008628', 'Title': 'That Boy', 'Authors': ['Jillian Dodd'], 'Publisher': '', 'Year': '2012', 'Language': 'en'}",That Boy,Jillian Dodd
2616,0985008660,"{'ISBN-13': '9780985008666', 'Title': 'Stalk Me', 'Authors': ['Jillian Dodd'], 'Publisher': '', 'Year': '2012', 'Language': 'en'}",Stalk Me,Jillian Dodd
2618,0985034181,"{'ISBN-13': '9780985034184', 'Title': 'Meant For Love', 'Authors': ['Marie Force'], 'Publisher': 'Htjb, Incorporated Powered by Everafter Romance', 'Year': '2013', 'Language': 'en'}",Meant For Love,Marie Force
2619,0985059133,"{'ISBN-13': '9780985059132', 'Title': 'Conviction', 'Authors': ['Nicole Edwards'], 'Publisher': 'Nicole Edwards', 'Year': '2012', 'Language': 'en'}",Conviction,Nicole Edwards
2630,0985355808,"{'ISBN-13': '9780985355807', 'Title': 'Dunaways Crossing', 'Authors': ['Nancy Brandon'], 'Publisher': 'Nancy Remler', 'Year': '2012', 'Language': ''}",Dunaways Crossing,Nancy Brandon
2639,0985817097,"{'ISBN-13': '9780985817091', 'Title': 'Infinite Possibilities (The Secret Life of Amy Bensen #2)', 'Authors': ['Lisa Renee Jones'], 'Publisher': 'Lisa R Jones', 'Year': '2013', 'Language': ''}",Infinite Possibilities (The Secret Life of Amy Bensen #2),Lisa Renee Jones
2663,0988301318,"{'ISBN-13': '9780988301313', 'Title': 'Fallen Too Far', 'Authors': [''], 'Publisher': 'Wild Child Publishing', 'Year': '2011', 'Language': ''}",Fallen Too Far,
2682,0988698706,"{'ISBN-13': '9780988698703', 'Title': 'Eyes Wide Open', 'Authors': ['Ted Dekker'], 'Publisher': 'Outlaw Studios', 'Year': '2012', 'Language': ''}",Eyes Wide Open,Ted Dekker
2686,0988707489,"{'ISBN-13': '9780988707481', 'Title': 'Broken (Book One Broken Series)', 'Authors': ['Kelly Elliott'], 'Publisher': '', 'Year': '2013', 'Language': 'en'}",Broken (Book One Broken Series),Kelly Elliott
2687,0988715805,"{'ISBN-13': '9780988715806', 'Title': 'Allure', 'Authors': ['Nina Lane'], 'Publisher': '', 'Year': '2013', 'Language': 'en'}",Allure,Nina Lane
2688,098871583X,"{'ISBN-13': '9780988715837', 'Title': 'Arouse', 'Authors': ['Nina Lane'], 'Publisher': '', 'Year': '2013', 'Language': 'en'}",Arouse,Nina Lane
2689,0988715880,"{'ISBN-13': '9780988715882', 'Title': 'Awaken', 'Authors': ['Nina Lane'], 'Publisher': '', 'Year': '2014', 'Language': 'en'}",Awaken,Nina Lane
2690,0988729806,"{'ISBN-13': '9780988729803', 'Title': 'Forever His', 'Authors': ['Shelly Thacker'], 'Publisher': '', 'Year': '2013', 'Language': 'en'}",Forever His,Shelly Thacker
2757,0991841131,"{'ISBN-13': '9780991841134', 'Title': 'The Lonely', 'Authors': ['Tara Brown'], 'Publisher': '', 'Year': '2013', 'Language': 'en'}",The Lonely,Tara Brown
2758,0991841158,"{'ISBN-13': '9780991841158', 'Title': 'Born To Fight', 'Authors': ['Tara Brown'], 'Publisher': '', 'Year': '2013', 'Language': 'en'}",Born To Fight,Tara Brown
2759,0991841174,"{'ISBN-13': '9780991841172', 'Title': 'My Side', 'Authors': ['Tara Brown'], 'Publisher': '', 'Year': '2013', 'Language': 'en'}",My Side,Tara Brown
2760,0991841190,"{'ISBN-13': '9780991841196', 'Title': 'Reborn', 'Authors': ['Tara Brown'], 'Publisher': '', 'Year': '2013', 'Language': 'en'}",Reborn,Tara Brown
2763,1250000971,"{'ISBN-13': '9781250000972', 'Title': 'The sins of the father', 'Authors': ['Jeffrey Archer'], 'Publisher': ""St. Martin's Press"", 'Year': '2012', 'Language': ''}",The sins of the father,Jeffrey Archer
2764,125000098X,"{'ISBN-13': '9781250000989', 'Title': 'Best kept secret', 'Authors': ['Jeffrey Archer'], 'Publisher': '', 'Year': '2013', 'Language': ''}",Best kept secret,Jeffrey Archer
2766,1250006317,"{'ISBN-13': '9781250006318', 'Title': 'Switched', 'Authors': ['Amanda Hocking'], 'Publisher': ""St. Martin's Griffin"", 'Year': '2012', 'Language': ''}",Switched,Amanda Hocking
2767,1250006325,"{'ISBN-13': '9781250006325', 'Title': 'Torn', 'Authors': ['Amanda Hocking'], 'Publisher': ""St. Martin's Griffin"", 'Year': '2012', 'Language': ''}",Torn,Amanda Hocking
2768,1250006333,"{'ISBN-13': '9781250006332', 'Title': 'Ascend', 'Authors': ['Amanda Hocking'], 'Publisher': ""St. Martin's Griffin"", 'Year': '2012', 'Language': ''}",Ascend,Amanda Hocking
2769,1250007038,"{'ISBN-13': '9781250007032', 'Title': 'Sweet salt air', 'Authors': ['Barbara Delinsky'], 'Publisher': '', 'Year': '2013', 'Language': ''}",Sweet salt air,Barbara Delinsky
2770,1250010071,"{'ISBN-13': '9781250010070', 'Title': ""Don't Go"", 'Authors': ['Lisa Scottoline'], 'Publisher': ""St. Martin's Press"", 'Year': '2013', 'Language': ''}",Don't Go,Lisa Scottoline
2771,1250012570,"{'ISBN-13': '9781250012579', 'Title': 'Eleanor & Park', 'Authors': ['Rainbow Rowell'], 'Publisher': 'Orion Publishing Group', 'Year': '2013', 'Language': ''}",Eleanor & Park,Rainbow Rowell
2773,1250014468,"{'ISBN-13': '9781250014467', 'Title': 'Fourth Grave Beneath My Feet', 'Authors': ['Darynda Jones'], 'Publisher': ""St. Martin's Press"", 'Year': '2012', 'Language': ''}",Fourth Grave Beneath My Feet,Darynda Jones
2775,1250015545,"{'ISBN-13': '9781250015549', 'Title': 'The good house', 'Authors': ['Ann Leary'], 'Publisher': '', 'Year': '2012', 'Language': ''}",The good house,Ann Leary
2778,1250019982,"{'ISBN-13': '9781250019981', 'Title': 'Taking Eve', 'Authors': ['Iris Johansen'], 'Publisher': 'Macmillan', 'Year': '2013', 'Language': 'en'}",Taking Eve,Iris Johansen
2779,1250019990,"{'ISBN-13': '9781250019998', 'Title': 'Hunting Eve', 'Authors': ['Iris Johansen'], 'Publisher': 'Macmillan', 'Year': '2013', 'Language': 'en'}",Hunting Eve,Iris Johansen
2780,1250020026,"{'ISBN-13': '9781250020024', 'Title': 'Silencing Eve', 'Authors': ['Iris Johansen'], 'Publisher': 'Macmillan', 'Year': '2013', 'Language': 'en'}",Silencing Eve,Iris Johansen
2781,1250028655,"{'ISBN-13': '9781250028655', 'Title': 'Z: A Novel Of Zelda Fitzgerald', 'Authors': ['Therese Fowler'], 'Publisher': 'Macmillan', 'Year': '2013', 'Language': 'en'}",Z: A Novel Of Zelda Fitzgerald,Therese Fowler
2782,1250029465,"{'ISBN-13': '9781250029461', 'Title': 'A Street Cat Named Bob', 'Authors': ['James Bowen'], 'Publisher': 'Macmillan', 'Year': '2013', 'Language': 'en'}",A Street Cat Named Bob,James Bowen
